,title,hq,link
1752,Oxford Industries,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Oxford_Industries
1753,"Rollins, Inc.",Atlanta  Georgia,"//en.m.wikipedia.org/wiki/Rollins,_Inc."
1754,RaceTrac,Atlanta Georgia,//en.m.wikipedia.org/wiki/RaceTrac
1755,Sharecare,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Sharecare
1756,Spanx,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Spanx
1757,Southern Company,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Southern_Company
1758,Southern Company Gas,Atlanta GA,//en.m.wikipedia.org/wiki/Southern_Company_Gas
1759,Ted's Montana Grill,Atlanta Georgia,//en.m.wikipedia.org/wiki/Ted%27s_Montana_Grill
1760,Sterling Ledet & Associates,Atlanta,//en.m.wikipedia.org/wiki/Sterling_Ledet_%26_Associates
1761,Synovus,Columbus  Georgia,//en.m.wikipedia.org/wiki/Synovus
1762,The Weather Channel,Atlanta Georgia Dish Network,//en.m.wikipedia.org/wiki/The_Weather_Channel
1763,Tropical Smoothie Cafe,Atlanta  Georgia U.S.,//en.m.wikipedia.org/wiki/Tropical_Smoothie_Cafe
1764,Turner Broadcasting System,CNN Center,//en.m.wikipedia.org/wiki/Turner_Broadcasting_System
1765,TSYS,Columbus  Georgia,//en.m.wikipedia.org/wiki/TSYS
1766,Vendormate,Columbus  Georgia,//en.m.wikipedia.org/wiki/Vendormate
1767,W. C. Bradley Co.,Columbus  Georgia USA,//en.m.wikipedia.org/wiki/W._C._Bradley_Co.
1768,Waffle House,Norcross  Georgia,//en.m.wikipedia.org/wiki/Waffle_House
1769,WestRock,Sandy Springs Atlanta,//en.m.wikipedia.org/wiki/WestRock
1770,Zaxby's,Athens  Georgia,//en.m.wikipedia.org/wiki/Zaxby%27s
1771,Atlantic Southeast Airlines,Athens  Georgia,//en.m.wikipedia.org/wiki/Atlantic_Southeast_Airlines
1772,World Financial Group,Johns Creek  Georgia,//en.m.wikipedia.org/wiki/World_Financial_Group
1773,CareerBuilder,Chicago  Illinois  United States,//en.m.wikipedia.org/wiki/CareerBuilder
1774,Bill Heard Enterprises,Columbus  Georgia United States,//en.m.wikipedia.org/wiki/Bill_Heard_Enterprises
1775,Blimpie,Scottsdale Arizona,//en.m.wikipedia.org/wiki/Blimpie
1776,Detonics,Millstadt  Illinois United States,//en.m.wikipedia.org/wiki/Detonics
1777,Carmike Cinemas,Columbus Georgia,//en.m.wikipedia.org/wiki/Carmike_Cinemas
1778,Novartis,Valsartan/hydrochlorothiazide,//en.m.wikipedia.org/wiki/Novartis
